election_id,data_source,num_voters,num_candidates,committee_size,hamming_pav_phrag,hamming_pav_mes,hamming_phrag_mes,pav_approval_score,phrag_approval_score,mes_approval_score,runtime_pav,runtime_phrag,runtime_mes,error,pav_winners_str,phrag_winners_str,mes_winners_str
syn_00120,euclidean_n50_m10_thr0.40_rep0,50,10,2,0,0,0,66,66,66,0.0042,0.0004,0.0009,,"[0, 1]","[0, 1]","[0, 1]"
syn_00121,euclidean_n50_m10_thr0.40_rep1,50,10,2,0,0,0,79,79,79,0.0042,0.0004,0.0008,,"[2, 6]","[2, 6]","[2, 6]"
syn_00122,euclidean_n50_m10_thr0.40_rep2,50,10,2,0,0,0,63,63,63,0.0041,0.0004,0.0007,,"[8, 9]","[8, 9]","[8, 9]"
syn_00123,euclidean_n50_m10_thr0.40_rep3,50,10,2,0,0,0,60,60,60,0.0041,0.0004,0.0008,,"[0, 6]","[0, 6]","[0, 6]"
syn_00124,euclidean_n50_m10_thr0.40_rep4,50,10,2,0,0,0,76,76,76,0.0041,0.0004,0.0008,,"[2, 9]","[2, 9]","[2, 9]"
syn_00125,euclidean_n50_m20_thr0.40_rep0,50,20,4,0,0,0,125,125,125,0.0063,0.001,0.0023,,"[5, 6, 9, 16]","[5, 6, 9, 16]","[5, 6, 9, 16]"
syn_00126,euclidean_n50_m20_thr0.40_rep1,50,20,4,2,0,2,121,117,121,0.006,0.0009,0.0018,,"[1, 13, 15, 18]","[13, 15, 17, 18]","[1, 13, 15, 18]"
syn_00127,euclidean_n50_m20_thr0.40_rep2,50,20,4,0,2,2,123,123,118,0.0062,0.0009,0.0018,,"[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 2, 4, 12]"
syn_00128,euclidean_n50_m20_thr0.40_rep3,50,20,4,4,0,4,120,116,120,0.0063,0.0009,0.0038,,"[0, 1, 8, 10]","[0, 2, 3, 10]","[0, 1, 8, 10]"
syn_00129,euclidean_n50_m20_thr0.40_rep4,50,20,4,0,0,0,125,125,125,0.0065,0.0009,0.0017,,"[1, 16, 17, 18]","[1, 16, 17, 18]","[1, 16, 17, 18]"
syn_00130,euclidean_n100_m10_thr0.40_rep0,100,10,2,0,0,0,129,129,129,0.006,0.0007,0.0015,,"[4, 7]","[4, 7]","[4, 7]"
syn_00131,euclidean_n100_m10_thr0.40_rep1,100,10,2,0,0,0,109,109,109,0.0058,0.0007,0.0016,,"[5, 7]","[5, 7]","[5, 7]"
syn_00132,euclidean_n100_m10_thr0.40_rep2,100,10,2,0,0,0,144,144,144,0.0062,0.0007,0.0015,,"[2, 9]","[2, 9]","[2, 9]"
syn_00133,euclidean_n100_m10_thr0.40_rep3,100,10,2,0,0,0,131,131,131,0.0062,0.0006,0.0015,,"[4, 5]","[4, 5]","[4, 5]"
syn_00134,euclidean_n100_m10_thr0.40_rep4,100,10,2,0,0,0,133,133,133,0.006,0.0006,0.0014,,"[1, 2]","[1, 2]","[1, 2]"
syn_00135,euclidean_n100_m20_thr0.40_rep0,100,20,4,2,2,0,248,245,245,0.0098,0.0017,0.0035,,"[0, 6, 9, 10]","[0, 6, 10, 17]","[0, 6, 10, 17]"
syn_00136,euclidean_n100_m20_thr0.40_rep1,100,20,4,2,2,4,205,201,197,0.0096,0.0016,0.0035,,"[12, 13, 14, 18]","[9, 12, 13, 18]","[8, 13, 14, 18]"
syn_00137,euclidean_n100_m20_thr0.40_rep2,100,20,4,0,0,0,239,239,239,0.0098,0.0017,0.0035,,"[6, 11, 13, 15]","[6, 11, 13, 15]","[6, 11, 13, 15]"
syn_00138,euclidean_n100_m20_thr0.40_rep3,100,20,4,2,2,2,214,217,216,0.0097,0.0016,0.0035,,"[2, 5, 9, 12]","[5, 9, 12, 16]","[5, 9, 12, 15]"
syn_00139,euclidean_n100_m20_thr0.40_rep4,100,20,4,0,2,2,231,231,224,0.01,0.0017,0.0036,,"[1, 8, 16, 17]","[1, 8, 16, 17]","[1, 5, 8, 17]"
